"title","film_id","rental_rate"
"Mannequin Worst",558,"2.99"
"Married Go",559,"2.99"
"Massage Image",564,"2.99"
"Meet Chocolate",567,"2.99"
"Menagerie Rushmore",569,"2.99"
"Metal Armageddon",571,"2.99"
"Metropolis Coma",572,"2.99"
"Microcosmos Paradise",573,"2.99"
"Mighty Luck",576,"2.99"
"Miracle Virtual",582,"2.99"
"Mixed Doors",584,"2.99"
"Money Harold",590,"2.99"
"Monster Spartacus",592,"2.99"
"Mulholland Beast",605,"2.99"
"Murder Antitrust",608,"2.99"
"Muscle Bright",609,"2.99"
"Mussolini Spoilers",612,"2.99"
"Nash Chocolat",615,"2.99"
"National Story",616,"2.99"
"Nemo Campus",620,"2.99"
"Network Peak",621,"2.99"
"Noon Papi",626,"2.99"
"Northwest Polish",628,"2.99"
"Operation Operation",638,"2.99"
"Order Betrayed",642,"2.99"
"Orient Closer",643,"2.99"
"Oscar Gold",644,"2.99"
"Others Soup",645,"2.99"
"Oz Liaisons",649,"2.99"
"Paradise Sabrina",657,"2.99"
"Paris Weekend",658,"2.99"
"Party Knock",660,"2.99"
"Patriot Roman",664,"2.99"
"Patton Interview",665,"2.99"
"Peach Innocent",667,"2.99"
"Pearl Destiny",669,"2.99"
"Perfect Groove",672,"2.99"
"Phantom Glory",675,"2.99"
"Pickup Driving",678,"2.99"
"Pilot Hoosiers",679,"2.99"
"Pizza Jumanji",684,"2.99"
"Pollock Deliverance",689,"2.99"
"Pond Seattle",690,"2.99"
"Potluck Mixed",692,"2.99"
"Potter Connecticut",693,"2.99"
"Princess Giant",698,"2.99"
"Prix Undefeated",700,"2.99"
"Psycho Shrunk",701,"2.99"
"Pulp Beverly",702,"2.99"
"Pure Runner",704,"2.99"
"Purple Movie",705,"2.99"
"Quest Mussolini",707,"2.99"
"Racer Egg",709,"2.99"
"Random Go",714,"2.99"
"Reap Unfaithful",716,"2.99"
"Redemption Comforts",720,"2.99"
"Reign Gentlemen",723,"2.99"
"Remember Diary",724,"2.99"
"Reservoir Adaptation",726,"2.99"
"Rider Caddyshack",729,"2.99"
"Robbers Joon",735,"2.99"
"Rollercoaster Bringing",740,"2.99"
"Rushmore Mermaid",754,"2.99"
"Saddle Antitrust",756,"2.99"
"Sagebrush Clueless",757,"2.99"
"Saints Bride",758,"2.99"
"Salute Apollo",759,"2.99"
"Samurai Lion",760,"2.99"
"Santa Paris",761,"2.99"
"Scissorhands Slums",770,"2.99"
"Ship Wonderland",788,"2.99"
"Sea Virgin",772,"2.99"
"Seabiscuit Punk",773,"2.99"
"Searchers Wait",774,"2.99"
"Shakespeare Saddle",782,"2.99"
"Shane Darkness",783,"2.99"
"Shanghai Tycoon",784,"2.99"
"Shock Cabin",789,"2.99"
"Shrek License",792,"2.99"
"Shrunk Divine",793,"2.99"
"Sinners Atlantis",800,"2.99"
"Sky Miracle",802,"2.99"
"Sleepy Japanese",806,"2.99"
"Smile Earring",811,"2.99"
"Snatchers Montezuma",815,"2.99"
"Sons Interview",820,"2.99"
"South Wait",823,"2.99"
"Speakeasy Date",825,"2.99"
"Spiking Element",828,"2.99"
"Spinal Rocky",829,"2.99"
"Spy Mile",835,"2.99"
"Squad Fish",836,"2.99"
"Stage World",837,"2.99"
"Star Operation",841,"2.99"
"State Wasteland",842,"2.99"
"Stock Glass",847,"2.99"
"Strictly Scarface",857,"2.99"
"Suspects Quills",869,"2.99"
"Sweet Brotherhood",872,"2.99"
"Tadpole Park",874,"2.99"
"Tarzan Videotape",876,"2.99"
"Telemark Heartbreakers",880,"2.99"
"Tomorrow Hustler",895,"2.99"
"Town Ark",900,"2.99"
"Trojan Tomorrow",912,"2.99"
"Trouble Date",914,"2.99"
"Turn Star",916,"2.99"
"Tuxedo Mile",917,"2.99"
"Uncut Suicides",921,"2.99"
"Unfaithful Kill",923,"2.99"
"Untouchables Sunrise",926,"2.99"
"Uprising Uptown",927,"2.99"
"Uptown Young",928,"2.99"
"Vacation Boondock",930,"2.99"
"Vanishing Rocky",936,"2.99"
"Varsity Trip",937,"2.99"
"Vertigo Northwest",939,"2.99"
"Wagon Jaws",952,"2.99"
"Wardrobe Phantom",958,"2.99"
"Warlock Werewolf",959,"2.99"
"Wars Pluto",960,"2.99"
"Wasteland Divine",962,"2.99"
"Weekend Personal",967,"2.99"
"Willow Tracy",975,"2.99"
"Window Side",977,"2.99"
"Won Dares",983,"2.99"
"Wonderful Drop",984,"2.99"
"Wonka Sea",986,"2.99"
"Words Hunter",987,"2.99"
"Worker Tarzan",988,"2.99"
"Worst Banger",991,"2.99"
"Wrong Behavior",993,"2.99"
"Zoolander Fiction",999,"2.99"
